Fecha;Sucursal;Region;Vendedor;Cliente;Producto;Categoria;Metodo_Pago;ID_Venta;Cantidad;Precio_Unitario;Total
09-06-2024;Sevilla;Sur;Carlos;Recurrente;Lámpara;Hogar;Transferencia;1;14;159.08;2227.12
12-09-2024;Bilbao;Norte;Ana;Recurrente;Chaqueta;Ropa;Transferencia;2;18;123.16;2216.88
18-11-2024;Valencia;Este;Carlos;Nuevo;Smartphone;Electrónica;Tarjeta;3;9;185.63;1670.67
14-12-2024;Bilbao;Norte;Luis;Nuevo;Smartphone;Electrónica;Tarjeta;4;2;131.96;263.92
02-06-2024;Zaragoza;Noreste;Marta;Recurrente;Silla;Hogar;Efectivo;5;15;41.97;629.55
03-03-2024;Madrid;Centro;Luis;;Pantalones;Ropa;Efectivo;6;15;112.56;1688.4
06-07-2024;Madrid;Centro;Carlos;Nuevo;Laptop;Electrónica;Transferencia;7;1;192.65;192.65
02-09-2024;Bilbao;Norte;Marta;Nuevo;;Ropa;Transferencia;8;3;109.91;329.73
10-03-2024;Sevilla;Sur;Marta;Nuevo;Lámpara;Hogar;Transferencia;9;3;151.78;455.34
24-09-2024;Sevilla;Sur;Carlos;Recurrente;Smartphone;Electrónica;Efectivo;10;13;50.18;652.34
18-10-2024;Malaga;Sur;Marta;Nuevo;Camiseta;Ropa;Tarjeta;11;10;134.18;1341.8
23-12-2024;Malaga;;Ana;Nuevo;Cafetera;Hogar;Transferencia;12;6;132.88;797.28
30-05-2024;Bilbao;Norte;Carlos;Recurrente;Zapatos;Ropa;Transferencia;13;2;189.77;379.54
13-02-2024;Sevilla;Sur;Ana;Nuevo;Auriculares;Electrónica;Tarjeta;14;12;185.73;2228.76
18-05-2024;Zaragoza;Noreste;Luis;Recurrente;Silla;Hogar;Tarjeta;15;11;146.42;1610.62
26-01-2024;Madrid;Centro;Carlos;Nuevo;Chaqueta;Ropa;Efectivo;16;14;40.1;561.4
15-06-2024;Bilbao;Norte;Marta;Nuevo;Humidificador;Hogar;Tarjeta;17;16;61.41;982.56
25-06-2024;Zaragoza;Noreste;Luis;Recurrente;Lámpara;Hogar;Tarjeta;18;17;126.31;2147.27
02-05-2024;Sevilla;Sur;Carlos;Recurrente;Smartphone;Electrónica;Tarjeta;19;4;166.75;667.0
13-01-2024;Valencia;Este;Luis;Nuevo;Auriculares;Electrónica;Efectivo;20;5;37.36;186.8
19-05-2024;Madrid;Centro;Marta;Recurrente;Chaqueta;Ropa;Tarjeta;21;12;74.5;894.0
19-10-2024;Malaga;Sur;Ana;;Lámpara;Hogar;Efectivo;22;6;160.05;960.3
18-04-2024;Madrid;Centro;Carlos;Recurrente;Laptop;Electrónica;Tarjeta;23;5;188.07;940.35
25-06-2024;Madrid;Centro;Luis;Recurrente;;Ropa;Transferencia;24;19;103.11;1959.09
25-10-2024;Valencia;;Ana;Nuevo;Auriculares;Electrónica;Efectivo;25;18;52.48;944.64
14-08-2024;Valencia;Este;Marta;Nuevo;Lámpara;Hogar;Efectivo;26;17;117.84;2003.28
11-10-2024;Bilbao;Norte;Carlos;Nuevo;Zapatos;Ropa;Tarjeta;27;10;147.8;1478.0
09-03-2024;Barcelona;Este;Ana;Recurrente;Pantalones;Ropa;Transferencia;28;1;162.3;162.3
06-07-2024;Madrid;Centro;Luis;Nuevo;Cafetera;Hogar;Efectivo;29;3;76.57;229.71
26-01-2024;Zaragoza;Noreste;Marta;Recurrente;Lámpara;Hogar;Efectivo;30;13;44.98;584.74
17-03-2024;Sevilla;Sur;Ana;Recurrente;Laptop;Electrónica;Transferencia;31;4;198.88;795.52
12-03-2024;Valencia;Este;Carlos;Nuevo;Silla;Hogar;Transferencia;32;15;61.94;929.1
11-03-2024;Barcelona;Este;Marta;Recurrente;Auriculares;Electrónica;Efectivo;33;13;87.75;1140.75
14-01-2024;Sevilla;Sur;Marta;Nuevo;Chaqueta;Ropa;Efectivo;34;5;108.97;544.85
